Channel,Sample,Reflectance (%)
B,Sample 1,1.4170136926475878
B,Sample 2,11.785915326516982
B,Sample 3,2.892056723012896
B,Sample 4,9.37471792632174
B,Sample 5,9.88882649129117
B,Sample 6,6.830994065663052
B,Sample 7,6.616285516107485
B,Sample 8,12.754377922211376
B,Sample 9,5.7966603298566515
G,Sample 1,3.429831047172968
G,Sample 2,30.072408497825357
G,Sample 3,6.927844095015055
G,Sample 4,26.260205419872864
G,Sample 5,26.904248912679826
G,Sample 6,19.12044429575109
G,Sample 7,18.722408832385415
G,Sample 8,34.220453997992635
G,Sample 9,25.531855804616928
R,Sample 1,5.10853128093763
R,Sample 2,29.938369367355417
R,Sample 3,7.91454624809717
R,Sample 4,25.565285557649112
R,Sample 5,27.40608011581984
R,Sample 6,19.14774481312341
R,Sample 7,20.548576416610782
R,Sample 8,33.72048414396576
R,Sample 9,24.81286622169706
NIR,Sample 1,7.667969862517154
NIR,Sample 2,31.513864795588127
NIR,Sample 3,10.379566579499262
NIR,Sample 4,24.621080703207934
NIR,Sample 5,24.33757087745644
NIR,Sample 6,19.35944903295964
NIR,Sample 7,18.4079434533827
NIR,Sample 8,31.019081894208117
NIR,Sample 9,8.386453667503819
